Date,Region,Product,Category,Quantity,Unit_Price,Discount,Revenue,Profit,Customer_Type
2023-01-01,North,Product_28,Groceries,1,72.63,0.05,69.0,11.08,New
2023-01-01,West,Product_8,Clothing,2,406.01,0.1,730.81,170.02,Returning
2023-01-01,East,Product_19,Electronics,1,315.81,0.0,315.81,20.27,Returning
2023-01-01,West,Product_20,Home Decor,2,445.55,0.0,891.11,111.49,New
2023-01-01,North,Product_2,Home Decor,3,337.65,0.0,1012.96,82.06,Returning
2023-01-01,Central,Product_41,Clothing,2,297.46,0.0,594.92,34.19,Returning
2023-01-01,Central,Product_47,Clothing,2,270.86,0.0,541.71,116.78,New
2023-01-01,South,Product_2,Home Decor,4,313.33,0.0,1253.32,75.62,Returning
2023-01-01,South,Product_35,Beauty,3,351.26,0.0,1053.78,80.67,Returning
2023-01-02,North,Product_34,Home Decor,3,398.62,0.0,1195.85,164.78,New
2023-01-02,East,Product_20,Clothing,1,96.25,0.0,96.25,13.06,Returning
2023-01-02,North,Product_14,Groceries,1,90.78,0.0,90.78,9.08,Returning
2023-01-02,West,Product_13,Electronics,4,95.52,0.1,343.87,61.09,Returning
2023-01-02,South,Product_31,Home Decor,4,279.41,0.05,1061.74,142.19,New
2023-01-02,West,Product_33,Clothing,4,83.53,0.0,334.12,39.55,New
2023-01-02,South,Product_32,Home Decor,3,25.16,0.1,67.93,12.96,Returning
2023-01-02,Central,Product_48,Clothing,2,382.87,0.1,689.16,82.19,Returning
2023-01-02,Central,Product_23,Beauty,1,202.26,0.05,192.15,34.01,New
2023-01-02,South,Product_4,Electronics,3,12.58,0.1,33.95,5.1,Returning
2023-01-02,Central,Product_46,Beauty,1,85.65,0.0,85.65,15.29,New
2023-01-02,West,Product_47,Clothing,4,320.02,0.1,1152.07,213.63,Returning
2023-01-02,East,Product_28,Groceries,1,231.84,0.0,231.84,55.24,Returning
2023-01-02,West,Product_48,Electronics,1,327.48,0.0,327.48,34.32,New
2023-01-02,North,Product_29,Beauty,2,14.02,0.0,28.04,5.23,New
2023-01-02,North,Product_33,Home Decor,4,195.77,0.05,743.93,87.88,New
2023-01-02,South,Product_34,Beauty,3,63.49,0.05,180.95,31.81,Returning
2023-01-02,South,Product_42,Clothing,4,211.88,0.15,720.4,114.97,Returning
2023-01-02,West,Product_4,Groceries,4,404.38,0.15,1374.9,182.21,Returning
2023-01-02,North,Product_26,Groceries,3,292.37,0.1,789.4,128.18,New
2023-01-02,North,Product_22,Groceries,3,376.68,0.05,1073.54,75.82,Returning
2023-01-02,North,Product_42,Beauty,2,250.8,0.0,501.6,54.94,New
2023-01-02,Central,Product_2,Home Decor,4,10.36,0.1,37.31,2.55,Returning
2023-01-02,South,Product_31,Home Decor,2,340.0,0.0,680.0,101.05,New
2023-01-02,Central,Product_49,Beauty,1,150.14,0.0,150.14,27.7,Returning
2023-01-02,South,Product_35,Clothing,3,391.74,0.0,1175.22,277.57,Returning
2023-01-02,Central,Product_25,Home Decor,2,277.02,0.0,554.03,126.07,Returning
2023-01-02,East,Product_11,Home Decor,2,484.48,0.05,920.52,200.11,Returning
2023-01-02,Central,Product_23,Electronics,2,46.63,0.05,88.6,5.72,Returning
2023-01-02,West,Product_10,Groceries,2,77.57,0.0,155.14,14.99,Returning
2023-01-02,Central,Product_3,Home Decor,1,188.47,0.1,169.62,40.62,Returning
2023-01-02,East,Product_16,Beauty,4,178.36,0.05,677.76,99.18,Returning
2023-01-02,Central,Product_32,Electronics,3,214.99,0.1,580.47,41.93,Returning
2023-01-02,West,Product_49,Electronics,1,205.58,0.0,205.58,40.74,Returning
2023-01-02,South,Product_46,Clothing,3,326.36,0.05,930.12,155.03,Returning
2023-01-02,North,Product_48,Home Decor,3,241.47,0.0,724.41,112.77,Returning
2023-01-02,East,Product_38,Electronics,2,11.02,0.15,18.73,1.1,Returning
2023-01-02,North,Product_19,Beauty,2,462.7,0.1,832.86,83.78,Returning
2023-01-02,West,Product_31,Clothing,1,263.93,0.05,250.74,47.43,Returning
2023-01-02,West,Product_41,Home Decor,1,349.98,0.0,349.98,69.09,Returning
2023-01-02,West,Product_20,Home Decor,2,475.45,0.1,855.82,120.78,Returning
2023-01-02,Central,Product_39,Beauty,4,88.99,0.05,338.17,43.17,New
2023-01-02,West,Product_42,Clothing,4,43.48,0.15,147.83,36.55,Returning
2023-01-02,West,Product_16,Beauty,1,143.48,0.0,143.48,24.47,New
2023-01-02,East,Product_22,Beauty,1,455.91,0.1,410.32,98.46,Returning
2023-01-02,East,Product_39,Clothing,3,459.99,0.0,1379.98,310.95,Returning
2023-01-02,West,Product_50,Beauty,1,18.05,0.0,18.05,3.83,Returning
2023-01-02,East,Product_13,Groceries,1,191.49,0.05,181.91,23.39,Returning
2023-01-02,West,Product_28,Beauty,1,419.97,0.0,419.97,55.84,New
2023-01-02,South,Product_19,Electronics,4,42.3,0.05,160.75,25.22,Returning
2023-01-02,North,Product_16,Groceries,3,279.94,0.05,797.83,190.64,Returning
2023-01-02,North,Product_42,Home Decor,1,124.34,0.0,124.34,12.47,New
2023-01-02,South,Product_31,Electronics,4,118.18,0.05,449.08,77.97,Returning
2023-01-02,South,Product_24,Groceries,4,15.98,0.0,63.93,9.28,Returning
2023-01-02,East,Product_3,Electronics,2,426.83,0.0,853.66,138.45,Returning
2023-01-02,West,Product_10,Groceries,1,297.03,0.0,297.03,39.83,Returning
2023-01-02,West,Product_30,Beauty,2,353.52,0.0,707.04,54.64,New
2023-01-02,South,Product_20,Home Decor,2,306.0,0.05,581.41,93.59,New
2023-01-02,Central,Product_14,Clothing,2,177.39,0.0,354.77,73.34,Returning
2023-01-03,South,Product_17,Electronics,1,399.25,0.0,399.25,87.2,Returning
2023-01-03,South,Product_42,Home Decor,4,232.27,0.15,789.73,117.29,Returning
2023-01-03,East,Product_50,Electronics,3,291.93,0.0,875.78,137.89,Returning
2023-01-03,East,Product_35,Groceries,4,80.19,0.0,320.77,57.15,New
2023-01-03,West,Product_48,Clothing,4,208.77,0.1,751.58,115.03,Returning
2023-01-03,Central,Product_20,Electronics,1,100.18,0.0,100.18,8.39,New
2023-01-03,North,Product_9,Beauty,1,20.74,0.0,20.74,3.25,Returning
2023-01-03,East,Product_41,Beauty,2,185.31,0.0,370.63,69.71,New
2023-01-03,Central,Product_34,Clothing,1,243.17,0.05,231.01,35.19,New
2023-01-03,East,Product_30,Electronics,4,35.23,0.0,140.93,29.77,Returning
2023-01-03,Central,Product_46,Clothing,1,493.2,0.0,493.2,115.81,New
2023-01-03,West,Product_33,Home Decor,4,187.61,0.0,750.45,149.71,New
2023-01-03,Central,Product_36,Groceries,4,70.89,0.05,269.39,58.97,Returning
2023-01-03,West,Product_43,Electronics,4,58.05,0.0,232.2,36.34,New
2023-01-03,Central,Product_50,Clothing,1,370.02,0.0,370.02,60.24,Returning
2023-01-03,Central,Product_6,Electronics,2,167.11,0.0,334.22,76.24,Returning
2023-01-03,Central,Product_29,Electronics,4,180.78,0.05,686.95,100.24,Returning
2023-01-03,West,Product_50,Groceries,2,295.49,0.05,561.42,76.54,New
2023-01-03,South,Product_13,Electronics,1,172.04,0.1,154.83,26.56,New
2023-01-03,North,Product_32,Beauty,3,493.33,0.05,1405.98,137.01,New
2023-01-03,South,Product_41,Electronics,2,185.85,0.0,371.7,81.84,New
2023-01-03,West,Product_24,Groceries,2,90.82,0.1,163.48,10.8,Returning
2023-01-03,Central,Product_36,Home Decor,4,350.0,0.15,1189.99,272.89,Returning
2023-01-03,South,Product_12,Electronics,3,433.43,0.1,1170.25,118.87,New
2023-01-03,North,Product_40,Groceries,3,411.33,0.05,1172.28,184.06,Returning
2023-01-03,West,Product_4,Beauty,1,385.9,0.0,385.9,44.28,Returning
2023-01-03,East,Product_22,Home Decor,1,369.44,0.0,369.44,70.73,Returning
2023-01-03,Central,Product_26,Electronics,2,292.71,0.0,585.43,85.61,Returning
2023-01-03,West,Product_18,Groceries,1,187.77,0.0,187.77,29.99,Returning
2023-01-03,East,Product_41,Clothing,2,164.57,0.1,296.22,29.9,Returning
2023-01-03,North,Product_23,Beauty,1,62.76,0.0,62.76,10.75,Returning
2023-01-03,East,Product_30,Beauty,3,465.12,0.1,1255.82,305.17,New
2023-01-03,East,Product_33,Electronics,4,495.51,0.0,1982.04,249.43,Returning
2023-01-03,West,Product_2,Beauty,4,289.36,0.1,1041.71,81.21,Returning
2023-01-03,North,Product_3,Groceries,2,400.77,0.1,721.39,62.96,New
2023-01-03,Central,Product_46,Beauty,2,263.92,0.0,527.83,119.0,Returning
2023-01-03,North,Product_8,Home Decor,4,228.71,0.05,869.12,199.84,Returning
2023-01-03,West,Product_18,Beauty,1,375.07,0.0,375.07,36.17,Returning
2023-01-03,South,Product_37,Clothing,3,268.27,0.0,804.81,77.1,Returning
2023-01-03,South,Product_14,Home Decor,2,470.22,0.05,893.41,104.51,New
2023-01-03,East,Product_39,Clothing,3,439.92,0.0,1319.76,261.7,Returning
2023-01-03,North,Product_11,Home Decor,1,80.08,0.0,80.08,7.98,Returning
2023-01-03,South,Product_40,Beauty,2,106.25,0.05,201.87,30.04,Returning
2023-01-03,Central,Product_34,Home Decor,2,411.52,0.0,823.04,180.49,New
2023-01-03,Central,Product_43,Electronics,4,253.63,0.0,1014.53,149.41,Returning
2023-01-03,East,Product_29,Clothing,1,361.42,0.05,343.35,64.82,Returning
2023-01-04,East,Product_20,Beauty,1,414.27,0.15,352.13,41.73,New
2023-01-04,West,Product_24,Groceries,3,233.69,0.1,630.97,50.9,Returning
2023-01-04,East,Product_13,Beauty,2,54.89,0.0,109.79,21.43,Returning
2023-01-04,East,Product_34,Beauty,4,284.74,0.05,1082.02,253.73,Returning
2023-01-04,East,Product_3,Beauty,2,386.77,0.0,773.53,49.34,New
2023-01-04,East,Product_20,Home Decor,2,467.51,0.1,841.52,117.95,New
2023-01-04,North,Product_21,Electronics,1,86.93,0.0,86.93,18.91,Returning
2023-01-04,East,Product_15,Groceries,2,261.82,0.0,523.65,67.97,New
2023-01-04,East,Product_23,Beauty,1,106.76,0.05,101.42,17.32,New
2023-01-04,East,Product_50,Home Decor,4,271.01,0.1,975.64,116.36,Returning
2023-01-04,South,Product_23,Electronics,2,459.64,0.0,919.27,52.0,Returning
2023-01-04,North,Product_41,Beauty,2,92.31,0.0,184.62,24.7,Returning
2023-01-04,East,Product_28,Groceries,1,391.35,0.0,391.35,36.79,New
2023-01-04,South,Product_50,Groceries,1,93.13,0.15,79.16,6.31,Returning
2023-01-04,West,Product_50,Groceries,4,269.86,0.0,1079.44,118.65,Returning
2023-01-04,Central,Product_26,Beauty,2,376.23,0.0,752.46,172.77,New
2023-01-04,North,Product_30,Clothing,1,314.36,0.0,314.36,68.32,Returning
2023-01-04,East,Product_29,Beauty,1,388.89,0.0,388.89,60.23,Returning
2023-01-04,Central,Product_48,Beauty,2,251.02,0.05,476.94,33.67,Returning
2023-01-04,South,Product_41,Home Decor,3,473.33,0.0,1419.98,147.89,Returning
2023-01-04,Central,Product_5,Home Decor,4,401.37,0.15,1364.66,297.44,Returning
2023-01-04,North,Product_19,Clothing,4,18.41,0.0,73.65,7.09,Returning
2023-01-04,East,Product_49,Clothing,1,299.55,0.0,299.55,49.09,Returning
2023-01-04,Central,Product_5,Groceries,4,122.9,0.0,491.6,48.49,Returning
2023-01-04,West,Product_24,Home Decor,4,404.39,0.15,1374.93,328.45,New
2023-01-04,South,Product_28,Groceries,2,150.11,0.1,270.19,14.21,New
2023-01-04,North,Product_40,Clothing,3,424.82,0.0,1274.47,287.12,Returning
2023-01-04,West,Product_28,Electronics,2,446.87,0.1,804.37,95.21,New
2023-01-04,Central,Product_3,Clothing,2,184.71,0.0,369.43,79.84,Returning
2023-01-04,Central,Product_45,Beauty,4,278.26,0.0,1113.05,121.2,Returning
2023-01-04,South,Product_30,Clothing,2,390.98,0.0,781.96,127.58,Returning
2023-01-04,East,Product_3,Groceries,3,400.93,0.0,1202.79,65.54,New
2023-01-04,North,Product_40,Groceries,4,350.93,0.0,1403.71,131.39,Returning
2023-01-04,North,Product_17,Beauty,2,492.28,0.0,984.56,83.03,New
2023-01-04,North,Product_26,Groceries,3,412.18,0.0,1236.54,263.4,Returning
2023-01-04,Central,Product_41,Groceries,2,279.32,0.05,530.7,114.6,New
2023-01-04,South,Product_11,Beauty,2,74.31,0.0,148.62,15.35,Returning
2023-01-04,East,Product_36,Home Decor,2,302.26,0.05,574.29,48.86,Returning
2023-01-04,North,Product_16,Beauty,2,205.17,0.05,389.82,52.39,Returning
2023-01-04,Central,Product_21,Beauty,2,370.33,0.0,740.65,126.38,New
2023-01-04,Central,Product_1,Electronics,1,419.35,0.0,419.35,97.75,Returning
2023-01-04,South,Product_14,Groceries,4,285.37,0.0,1141.48,208.59,Returning
2023-01-04,Central,Product_33,Groceries,1,244.46,0.0,244.46,38.62,New
2023-01-04,Central,Product_20,Clothing,4,30.46,0.0,121.82,20.63,Returning
2023-01-04,North,Product_44,Beauty,2,239.75,0.0,479.49,57.69,Returning
2023-01-04,East,Product_17,Home Decor,1,345.76,0.0,345.76,34.33,Returning
2023-01-04,East,Product_30,Electronics,1,6.16,0.15,5.23,0.27,New
2023-01-04,South,Product_16,Groceries,1,50.33,0.1,45.3,3.5,Returning
2023-01-04,South,Product_15,Electronics,3,263.04,0.0,789.13,190.68,Returning
2023-01-04,North,Product_24,Electronics,3,404.25,0.05,1152.11,217.12,Returning
2023-01-04,South,Product_36,Home Decor,1,452.17,0.05,429.56,81.03,New
2023-01-04,Central,Product_12,Home Decor,2,24.52,0.05,46.58,10.95,New
2023-01-04,North,Product_24,Electronics,1,239.24,0.0,239.24,17.73,Returning
2023-01-04,East,Product_34,Clothing,3,462.58,0.15,1179.57,281.74,Returning
2023-01-04,North,Product_29,Groceries,2,32.17,0.0,64.33,9.94,Returning
2023-01-04,Central,Product_41,Electronics,2,300.15,0.0,600.31,44.49,New
2023-01-05,South,Product_9,Clothing,3,173.24,0.05,493.73,31.14,Returning
2023-01-05,Central,Product_27,Home Decor,1,271.51,0.05,257.93,50.96,Returning
2023-01-05,North,Product_42,Home Decor,1,309.85,0.0,309.85,17.0,Returning
2023-01-05,South,Product_3,Beauty,2,5.12,0.0,10.24,1.3,Returning
2023-01-05,East,Product_7,Groceries,3,498.98,0.0,1496.93,304.53,Returning
2023-01-05,West,Product_6,Groceries,1,242.49,0.0,242.49,25.3,Returning
2023-01-05,East,Product_18,Electronics,2,211.79,0.0,423.59,83.67,New
2023-01-05,West,Product_40,Groceries,3,236.32,0.0,708.96,156.37,Returning
2023-01-05,Central,Product_37,Clothing,1,25.84,0.0,25.84,6.4,Returning
2023-01-05,Central,Product_48,Beauty,1,198.86,0.0,198.86,47.98,Returning
2023-01-05,South,Product_33,Electronics,1,49.26,0.0,49.26,11.12,Returning
2023-01-05,South,Product_41,Clothing,3,452.34,0.15,1153.48,229.16,New
2023-01-05,West,Product_41,Clothing,4,471.65,0.05,1792.28,307.46,Returning
2023-01-05,East,Product_16,Beauty,2,28.24,0.0,56.48,3.24,Returning
2023-01-05,South,Product_17,Electronics,4,178.31,0.0,713.25,173.9,Returning
2023-01-05,Central,Product_2,Beauty,3,300.65,0.0,901.95,92.04,Returning
2023-01-05,Central,Product_29,Home Decor,2,349.53,0.0,699.06,149.02,New
2023-01-05,North,Product_36,Home Decor,4,375.2,0.0,1500.79,343.66,Returning
2023-01-05,Central,Product_40,Electronics,3,439.34,0.0,1318.03,100.04,Returning
2023-01-05,North,Product_39,Home Decor,1,426.84,0.0,426.84,49.43,Returning
2023-01-05,East,Product_20,Beauty,3,48.06,0.0,144.18,17.96,New
2023-01-05,South,Product_4,Groceries,1,29.15,0.0,29.15,7.07,New
2023-01-05,East,Product_8,Clothing,4,42.68,0.1,153.67,22.9,Returning
2023-01-05,North,Product_41,Beauty,1,453.72,0.0,453.72,82.77,Returning
2023-01-05,Central,Product_26,Beauty,1,137.18,0.1,123.46,25.86,Returning
2023-01-05,Central,Product_12,Clothing,1,82.88,0.0,82.88,9.68,New
2023-01-05,South,Product_42,Electronics,1,341.67,0.05,324.59,65.09,New
2023-01-05,West,Product_2,Beauty,3,480.85,0.0,1442.55,325.75,New
2023-01-05,West,Product_12,Groceries,4,170.88,0.05,649.36,53.35,Returning
2023-01-05,East,Product_43,Home Decor,2,379.53,0.0,759.07,67.27,New
2023-01-05,South,Product_47,Electronics,3,490.69,0.05,1398.46,142.59,Returning
2023-01-05,South,Product_6,Groceries,4,410.25,0.0,1640.99,175.04,New
2023-01-05,West,Product_49,Beauty,1,481.68,0.0,481.68,85.03,Returning
2023-01-05,North,Product_34,Beauty,1,395.46,0.0,395.46,80.74,Returning
2023-01-05,East,Product_34,Home Decor,4,355.55,0.0,1422.18,236.7,Returning
2023-01-05,North,Product_7,Electronics,2,41.97,0.1,75.55,18.74,Returning
2023-01-05,Central,Product_32,Home Decor,4,376.08,0.0,1504.31,303.35,New
2023-01-05,Central,Product_6,Clothing,3,411.65,0.0,1234.95,263.98,New
2023-01-05,South,Product_18,Beauty,3,225.72,0.0,677.17,168.9,Returning
2023-01-05,South,Product_35,Beauty,1,427.83,0.0,427.83,92.06,New
2023-01-05,West,Product_39,Electronics,4,45.78,0.05,173.96,31.47,New
2023-01-05,East,Product_12,Beauty,1,481.8,0.0,481.8,94.56,Returning
2023-01-05,South,Product_14,Beauty,1,321.07,0.0,321.07,33.66,Returning
2023-01-05,East,Product_22,Clothing,1,163.77,0.05,155.58,30.99,New
2023-01-05,South,Product_2,Clothing,1,327.58,0.0,327.58,73.01,Returning
2023-01-05,West,Product_21,Electronics,4,83.83,0.0,335.31,22.88,New
2023-01-05,South,Product_4,Electronics,3,423.17,0.05,1206.03,211.35,New
2023-01-05,Central,Product_22,Groceries,1,456.36,0.15,387.91,33.78,Returning
2023-01-05,North,Product_38,Home Decor,2,63.07,0.0,126.14,23.6,Returning
2023-01-05,North,Product_39,Home Decor,2,116.64,0.0,233.28,42.06,Returning
2023-01-05,Central,Product_42,Clothing,2,399.79,0.0,799.58,112.78,New
2023-01-05,North,Product_29,Clothing,2,341.83,0.0,683.65,167.45,Returning
2023-01-05,East,Product_17,Clothing,3,349.02,0.1,942.34,194.09,New
2023-01-05,South,Product_7,Electronics,2,375.84,0.0,751.67,53.04,Returning
2023-01-05,North,Product_34,Beauty,3,251.95,0.05,718.06,136.78,Returning
2023-01-05,South,Product_36,Groceries,4,470.91,0.0,1883.65,295.45,Returning
2023-01-05,South,Product_33,Groceries,2,21.44,0.0,42.87,5.55,New
2023-01-05,North,Product_41,Clothing,3,104.43,0.05,297.61,63.77,New
2023-01-05,South,Product_22,Electronics,4,56.76,0.05,215.69,41.26,New
2023-01-05,South,Product_41,Clothing,2,310.22,0.05,589.42,64.7,Returning
2023-01-05,South,Product_14,Electronics,4,358.47,0.1,1290.5,152.14,Returning
2023-01-05,West,Product_44,Home Decor,3,332.11,0.0,996.32,168.87,Returning
2023-01-05,West,Product_47,Home Decor,3,323.57,0.0,970.71,190.57,New
2023-01-05,North,Product_20,Groceries,2,298.67,0.05,567.48,82.77,Returning
2023-01-05,East,Product_22,Groceries,3,488.05,0.0,1464.16,126.54,Returning
2023-01-05,East,Product_43,Home Decor,3,26.61,0.0,79.84,4.32,Returning
2023-01-06,East,Product_11,Home Decor,4,273.53,0.0,1094.11,72.55,Returning
2023-01-06,North,Product_18,Beauty,1,40.74,0.0,40.74,4.14,Returning
2023-01-06,East,Product_4,Electronics,2,480.59,0.0,961.17,210.74,Returning
2023-01-06,Central,Product_7,Groceries,4,188.66,0.15,641.46,37.22,Returning
2023-01-06,Central,Product_6,Groceries,4,296.09,0.0,1184.36,152.9,Returning
2023-01-06,North,Product_18,Groceries,3,450.85,0.0,1352.54,142.51,Returning
2023-01-06,South,Product_10,Clothing,2,182.78,0.0,365.56,52.33,Returning
2023-01-06,West,Product_21,Clothing,1,70.13,0.05,66.62,15.44,New
2023-01-06,West,Product_26,Electronics,4,189.56,0.0,758.24,100.55,New
2023-01-06,Central,Product_43,Beauty,1,127.38,0.1,114.64,15.94,Returning
2023-01-06,East,Product_47,Home Decor,1,333.0,0.0,333.0,60.08,Returning
2023-01-06,North,Product_42,Home Decor,4,132.78,0.05,504.55,58.04,Returning
2023-01-06,Central,Product_25,Clothing,4,201.35,0.0,805.39,78.07,Returning
2023-01-06,North,Product_4,Electronics,2,89.03,0.0,178.06,20.9,Returning
2023-01-06,South,Product_12,Home Decor,1,227.47,0.0,227.47,54.53,New
2023-01-06,South,Product_38,Groceries,2,87.97,0.0,175.94,34.71,Returning
2023-01-06,South,Product_1,Groceries,1,391.99,0.05,372.39,51.86,Returning
2023-01-06,North,Product_11,Groceries,2,106.89,0.0,213.78,22.22,New
2023-01-06,South,Product_9,Electronics,3,119.41,0.0,358.23,63.77,New
2023-01-06,West,Product_4,Groceries,1,467.27,0.0,467.27,70.77,New
2023-01-06,North,Product_18,Groceries,2,201.7,0.0,403.41,75.51,New
2023-01-06,North,Product_19,Groceries,1,321.36,0.1,289.23,40.77,Returning
2023-01-06,West,Product_46,Clothing,2,174.61,0.0,349.23,26.24,New
2023-01-06,West,Product_2,Electronics,4,353.82,0.0,1415.27,261.38,Returning
2023-01-06,Central,Product_38,Groceries,1,366.76,0.0,366.76,35.54,Returning
2023-01-06,North,Product_37,Home Decor,3,347.85,0.1,939.19,224.4,Returning
2023-01-06,North,Product_23,Electronics,2,125.85,0.1,226.54,50.5,Returning
2023-01-06,East,Product_49,Home Decor,3,465.82,0.05,1327.59,246.01,New
2023-01-06,East,Product_18,Home Decor,4,414.29,0.05,1574.28,260.44,Returning
2023-01-06,West,Product_40,Clothing,2,499.71,0.0,999.42,245.29,Returning
2023-01-06,West,Product_32,Home Decor,4,377.45,0.0,1509.81,162.66,New
2023-01-06,North,Product_13,Electronics,2,205.05,0.0,410.1,75.26,Returning
2023-01-06,Central,Product_12,Electronics,2,439.56,0.0,879.11,196.73,Returning
2023-01-06,South,Product_33,Beauty,2,274.52,0.0,549.04,63.09,Returning
2023-01-06,West,Product_22,Clothing,3,283.9,0.0,851.71,136.02,Returning
2023-01-06,South,Product_17,Electronics,4,189.76,0.0,759.04,49.06,Returning
2023-01-06,West,Product_5,Groceries,2,323.08,0.05,613.84,92.13,Returning
2023-01-06,West,Product_21,Beauty,4,261.95,0.0,1047.78,57.76,Returning
2023-01-06,East,Product_26,Electronics,4,78.75,0.0,315.0,31.25,Returning
2023-01-06,West,Product_40,Groceries,3,383.62,0.1,1035.77,200.55,Returning
2023-01-06,Central,Product_12,Electronics,1,412.08,0.0,412.08,94.51,New
2023-01-06,West,Product_22,Beauty,3,125.52,0.1,338.91,21.03,Returning
2023-01-06,West,Product_38,Home Decor,2,101.31,0.0,202.61,35.15,Returning
2023-01-06,North,Product_14,Clothing,2,157.11,0.1,282.8,44.63,Returning
